step,stable_train_l2,fast_train_l2,stable_val_l2,fast_val_l2,stable_total_sec,fast_total_sec,stable_lr,fast_lr,abs_diff_train_l2,abs_diff_val_l2
250,-0.08106193791411762,-0.08106193791414008,-0.06323573312131084,-0.06323573312114412,100.64928498398513,95.72341359802522,0.001,0.001,2.2468138460851605e-14,1.6671386493527507e-13
255,-0.08124310071186881,-0.08124310071185258,-0.06294494177824268,-0.06294494177796746,102.58771663205698,97.62963839806616,0.001,0.001,1.6237011735142914e-14,2.752242878045763e-13
260,-0.08217391268478219,-0.08217391268482138,-0.06357753552564821,-0.0635775355254804,104.43174942210317,99.57874069898389,0.001,0.001,3.9190872769268026e-14,1.678102101720924e-13
265,-0.08257421145334518,-0.08257421145329039,-0.06349190467277135,-0.06349190467283747,106.32669909205288,101.50559314992279,0.001,0.001,5.4789506265251475e-14,6.611378111642807e-14
270,-0.08259497109249304,-0.08259497109246033,-0.06331879731651928,-0.06331879731654103,108.24784714914858,103.38100681407377,0.001,0.001,3.2709945863018675e-14,2.1746493494845254e-14
275,-0.08311424490030334,-0.08311424490034262,-0.0632768991680194,-0.06327689916795955,110.2796697660815,105.35640847310424,0.001,0.001,3.928801728392273e-14,5.985489881510375e-14
280,-0.08355475360287803,-0.083554753602845,-0.06307030708620232,-0.0630703070862958,112.31123742298223,107.29555320809595,0.001,0.001,3.302913498259841e-14,9.348077867343818e-14
285,-0.08369799649234755,-0.08369799649238145,-0.06260809909851325,-0.06260809909827529,114.29259347403422,109.32578710792586,0.001,0.001,3.390343561449072e-14,2.379624275405945e-13
290,-0.08432586756531735,-0.0843258675653211,-0.0625380571576217,-0.0625380571576121,116.37548853713088,111.23579797288403,0.001,0.001,3.747002708109903e-15,9.603429163007604e-15
295,-0.08517972100054634,-0.0851797210006178,-0.06253546517733562,-0.06253546517695832,118.37836225097999,113.2145066850353,0.001,0.001,7.145672942243664e-14,3.7729541713105164e-13
300,-0.08576571253963827,-0.08576571253968228,-0.062130922244484355,-0.06213092224425705,120.27683142316528,115.24590296694078,0.001,0.001,4.400646513857964e-14,2.2730428650419299e-13
305,-0.08631391148739354,-0.0863139114874987,-0.061915118653685236,-0.06191511865296101,123.70891280914657,117.95446480810642,0.0009993490290084225,0.0009993490290084225,1.0516587600761795e-13,7.242262345386052e-13
310,-0.08650182924894176,-0.08650182924877968,-0.06203370635791325,-0.06203370635857876,125.64570840308443,119.93642169609666,0.0009973979002999298,0.0009973979002999298,1.6207868380746504e-13,6.655093143237423e-13
315,-0.08609176813315865,-0.08609176813319368,-0.062073886993694496,-0.062073886993552665,127.66256437310949,121.85010275407694,0.0009941519617826904,0.0009941519617826904,3.502753642692369e-14,1.4183099139586375e-13
320,-0.08595413088849624,-0.08595413088778774,-0.06225082736277138,-0.0622508273648998,129.63359623611905,123.63191760610789,0.0009896201103485576,0.0009896201103485576,7.085027009523515e-13,2.1284224382966954e-12
325,-0.08606304788993771,-0.0860630478899943,-0.062427916687188334,-0.062427916687178286,131.70778521918692,125.5398087890353,0.0009838147674873074,0.0009838147674873074,5.6593618680267355e-14,1.0047518372857667e-14
330,-0.0860828277699328,-0.08608282777064329,-0.06251636894799319,-0.06251636894636302,133.68669742601924,127.4352927710861,0.000976751845240198,0.000976751845240198,7.104872246088689e-13,1.630168222632733e-12
335,-0.08635472726138643,-0.08635472726016573,-0.06261463489108296,-0.06261463489467946,135.64782474306412,129.35346712195314,0.0009684507025861708,0.0009684507025861708,1.2207040933631674e-12,3.5964980993341555e-12
340,-0.08726963074249655,-0.08726963074258591,-0.0630802023757073,-0.06308020237547367,137.58196174702607,131.27785416389816,0.0009589340923802353,0.0009589340923802353,8.935907569451729e-14,2.336325577445564e-13
345,-0.08769184314699144,-0.08769184314707766,-0.06252136935248595,-0.06252136935230053,139.54092787206173,133.21321242605336,0.0009482280989894747,0.0009482280989894747,8.622269564995122e-14,1.8542112290020896e-13
350,-0.08780037177642586,-0.0878003717763825,-0.06191716231999575,-0.06191716232050562,141.5630401361268,135.18650545203127,0.0009363620667976085,0.0009363620667976085,4.335420911161236e-14,5.098699240591031e-13
355,-0.0878665157374861,-0.08786651573755136,-0.06116100119892767,-0.0611610011981929,143.54795122612268,137.1503560259007,0.0009233685197740765,0.0009233685197740765,6.525335827234358e-14,7.347733532725442e-13
360,-0.08822130511468879,-0.0882213051147074,-0.06075819311261316,-0.06075819311220278,145.54076873906888,139.15333092794754,0.0009092830723281001,0.0009092830723281001,1.8610113450279187e-14,4.103800632648813e-13
365,-0.08856919313616435,-0.08856919313651776,-0.06032937629563484,-0.06032937630371449,147.6082660960965,141.11660874192603,0.0008941443316920612,0.0008941443316920612,3.5341174431380296e-13,8.079648061709577e-12
370,-0.08897863858946971,-0.0889786385891728,-0.06047128180838811,-0.06047128181537774,149.65126506518573,143.11738468101248,0.0008779937921017623,0.0008779937921017623,2.969013923603825e-13,6.989631096132598e-12
375,-0.08942422366395988,-0.08942422366280571,-0.06078312295939309,-0.060783122964763084,151.60517466603778,145.12984898197465,0.0008608757210636101,0.0008608757210636101,1.154173978612505e-12,5.369996114445996e-12
380,-0.08981973468140829,-0.08981973468045364,-0.06065536420476032,-0.06065536420762578,153.5628200250212,147.0094920080155,0.0008428370380204577,0.0008428370380204577,9.546530232995565e-13,2.8654578709819134e-12
385,-0.09014764156850358,-0.0901476415688995,-0.06030511913569733,-0.06030511913446464,155.56729090004228,148.98822737508453,0.0008239271857486729,0.0008239271857486729,3.9591940836913864e-13,1.2326945020291191e-12
